o,d,tot,dl,share
ABE,ORD,52,0.0,0.0
ABQ,DEN,210,0.0,0.0
ABQ,IAH,8,0.0,0.0
ABQ,LAX,403,244.0,0.6054590570719603
ABQ,ORD,64,0.0,0.0
ABQ,PHX,133,0.0,0.0
ABQ,SFO,162,0.0,0.0
ABQ,SLC,293,293.0,1.0
ABR,MSP,184,184.0,1.0
ABY,ATL,161,161.0,1.0
ACK,ORD,8,0.0,0.0
ACT,DFW,186,0.0,0.0
ACV,DEN,93,0.0,0.0
ACV,LAX,93,0.0,0.0
ACV,SFO,301,0.0,0.0
AEX,DFW,158,0.0,0.0
AGS,ATL,49,49.0,1.0
ALB,DTW,220,220.0,1.0
ALB,ORD,41,0.0,0.0
AMA,DEN,181,0.0,0.0
AMA,DFW,15,0.0,0.0
AMA,IAH,27,0.0,0.0
APN,DTW,159,159.0,1.0
ASE,ATL,155,155.0,1.0
ASE,AUS,93,0.0,0.0
ASE,CLT,14,0.0,0.0
ASE,DEN,780,0.0,0.0
ASE,DFW,442,0.0,0.0
ASE,IAH,250,0.0,0.0
ASE,LAX,461,93.0,0.2017353579175705
ASE,ORD,351,0.0,0.0
ASE,PHX,62,0.0,0.0
ASE,SFO,163,0.0,0.0
ATL,ABY,162,162.0,1.0
ATL,AGS,49,49.0,1.0
ATL,ASE,155,155.0,1.0
ATL,ATW,31,31.0,1.0
ATL,AVL,4,4.0,1.0
ATL,BMI,57,57.0,1.0
ATL,BQK,4,4.0,1.0
ATL,BTR,1,1.0,1.0
ATL,CHA,52,52.0,1.0
ATL,CHS,1,1.0,1.0
ATL,CRW,157,157.0,1.0
ATL,DHN,47,47.0,1.0
ATL,EVV,91,91.0,1.0
ATL,FAR,27,27.0,1.0
ATL,FAY,44,44.0,1.0
ATL,FWA,261,261.0,1.0
ATL,GNV,4,4.0,1.0
ATL,HPN,22,22.0,1.0
ATL,IAH,5,0.0,0.0
ATL,ILM,10,10.0,1.0
ATL,LEX,11,11.0,1.0
ATL,LFT,103,103.0,1.0
ATL,MEM,4,4.0,1.0
ATL,MGM,139,139.0,1.0
ATL,MOB,48,48.0,1.0
ATL,OAJ,1,1.0,1.0
ATL,ORD,1,0.0,0.0
ATL,SBN,262,262.0,1.0
ATL,SGF,65,65.0,1.0
ATL,SHV,249,249.0,1.0
ATL,TRI,28,28.0,1.0
ATL,XNA,119,119.0,1.0
ATW,ATL,31,31.0,1.0
ATW,DEN,110,0.0,0.0
ATW,DTW,249,249.0,1.0
ATW,MSP,227,227.0,1.0
ATW,ORD,422,0.0,0.0
ATY,DEN,30,0.0,0.0
ATY,MSP,31,31.0,1.0
AUS,ASE,93,0.0,0.0
AUS,BNA,257,257.0,1.0
AUS,CVG,31,31.0,1.0
AUS,DEN,67,62.0,0.9253731343283582
AUS,DFW,98,0.0,0.0
AUS,ECP,39,39.0,1.0
AUS,HRL,31,31.0,1.0
AUS,IAH,39,0.0,0.0
AUS,IND,62,62.0,1.0
AUS,JAX,62,62.0,1.0
AUS,LAX,186,0.0,0.0
AUS,MAF,147,147.0,1.0
AUS,MEM,62,62.0,1.0
AUS,MFE,257,257.0,1.0
AUS,MSP,44,44.0,1.0
AUS,MSY,93,93.0,1.0
AUS,PSP,31,31.0,1.0
AUS,RDU,53,53.0,1.0
AUS,SAN,209,0.0,0.0
AUS,SFO,6,0.0,0.0
AUS,SLC,31,31.0,1.0
AVL,ATL,4,4.0,1.0
AVL,DEN,50,0.0,0.0
AVL,ORD,113,0.0,0.0
AZO,DTW,245,245.0,1.0
BDL,DTW,1,1.0,1.0
BDL,ORD,38,0.0,0.0
BFF,DEN,158,0.0,0.0
BFL,DEN,187,0.0,0.0
BFL,PHX,121,0.0,0.0
BFL,SFO,155,0.0,0.0
BGM,DTW,58,58.0,1.0
BHM,CLT,31,0.0,0.0
BHM,DEN,186,0.0,0.0
BHM,DFW,5,0.0,0.0
BHM,DTW,96,96.0,1.0
BHM,IAH,26,0.0,0.0
BHM,ORD,8,0.0,0.0
BIH,DEN,71,0.0,0.0
BIH,SFO,82,0.0,0.0
BIL,DEN,245,0.0,0.0
BIL,ORD,31,0.0,0.0
BIL,SLC,173,173.0,1.0
BIS,DEN,397,0.0,0.0
BIS,DIK,1,0.0,0.0
BIS,MSP,192,192.0,1.0
BJI,MSP,184,184.0,1.0
BLI,SEA,335,0.0,0.0
BMI,ATL,57,57.0,1.0
BNA,AUS,256,256.0,1.0
BNA,DFW,39,0.0,0.0
BNA,DTW,3,3.0,1.0
BNA,IAH,101,0.0,0.0
BNA,JFK,9,9.0,1.0
BNA,LGA,86,86.0,1.0
BNA,ORD,406,0.0,0.0
BOI,BUR,42,0.0,0.0
BOI,DEN,192,0.0,0.0
BOI,GEG,67,0.0,0.0
BOI,LAS,46,0.0,0.0
BOI,LAX,341,125.0,0.36656891495601174
BOI,ORD,151,0.0,0.0
BOI,PDX,171,0.0,0.0
BOI,PHX,262,0.0,0.0
BOI,SAN,128,0.0,0.0
BOI,SEA,756,592.0,0.783068783068783
BOI,SFO,343,0.0,0.0
BOI,SJC,80,0.0,0.0
BOI,SLC,98,98.0,1.0
BOI,SMF,15,0.0,0.0
BPT,DFW,135,0.0,0.0
BQK,ATL,4,4.0,1.0
BRD,MSP,160,160.0,1.0
BRO,DFW,102,0.0,0.0
BTM,DEN,90,0.0,0.0
BTM,SLC,90,90.0,1.0
BTR,ATL,1,1.0,1.0
BTR,DFW,78,0.0,0.0
BTR,IAH,130,0.0,0.0
BTV,DTW,121,121.0,1.0
BTV,ORD,74,0.0,0.0
BUF,DTW,43,43.0,1.0
BUF,JFK,3,3.0,1.0
BUF,LGA,23,23.0,1.0
BUF,ORD,55,0.0,0.0
BUR,BOI,42,0.0,0.0
BUR,EUG,6,0.0,0.0
BUR,PDX,4,0.0,0.0
BUR,PHX,183,0.0,0.0
BUR,PSC,31,0.0,0.0
BUR,RDM,31,0.0,0.0
BUR,SFO,366,0.0,0.0
BUR,SLC,214,214.0,1.0
BUR,STS,85,0.0,0.0
BWI,ORD,15,0.0,0.0
BZN,DEN,85,0.0,0.0
BZN,LAX,125,62.0,0.496
BZN,ORD,37,0.0,0.0
BZN,PDX,4,0.0,0.0
BZN,SAN,24,0.0,0.0
BZN,SEA,182,160.0,0.8791208791208791
BZN,SFO,3,0.0,0.0
BZN,SLC,170,170.0,1.0
CAE,ORD,106,0.0,0.0
CAK,ORD,314,0.0,0.0
CDC,SLC,160,160.0,1.0
CHA,ATL,51,51.0,1.0
CHA,CLT,30,0.0,0.0
CHA,DFW,30,0.0,0.0
CHA,ORD,118,0.0,0.0
CHO,ORD,208,0.0,0.0
CHS,ATL,1,1.0,1.0
CHS,DTW,133,133.0,1.0
CID,DEN,26,0.0,0.0
CID,MSP,122,122.0,1.0
CID,ORD,184,0.0,0.0
CID,PHX,158,0.0,0.0
CIU,DTW,92,92.0,1.0
CIU,MSP,93,93.0,1.0
CIU,ORD,31,0.0,0.0
CLE,DTW,229,229.0,1.0
CLE,LGA,22,22.0,1.0
CLE,MSP,47,47.0,1.0
CLE,ORD,217,0.0,0.0
CLL,DFW,84,0.0,0.0
CLT,ASE,14,0.0,0.0
CLT,BHM,31,0.0,0.0
CLT,CHA,30,0.0,0.0
CLT,IAH,20,0.0,0.0
CLT,ORD,25,0.0,0.0
CLT,RIC,15,0.0,0.0
CLT,SHV,91,0.0,0.0
CMH,DTW,89,89.0,1.0
CMH,IAH,4,0.0,0.0
CMH,MSP,10,10.0,1.0
CMH,ORD,122,0.0,0.0
CMX,ORD,207,0.0,0.0
COD,DEN,247,0.0,0.0
COS,DEN,812,0.0,0.0
COS,DFW,181,0.0,0.0
COS,IAH,69,0.0,0.0
COS,ORD,166,0.0,0.0
COS,SLC,148,148.0,1.0
COU,DEN,31,0.0,0.0
COU,DFW,58,0.0,0.0
COU,ORD,93,0.0,0.0
CPR,DEN,613,0.0,0.0
CRP,DFW,14,0.0,0.0
CRP,IAH,109,0.0,0.0
CRW,ATL,157,157.0,1.0
CRW,ORD,219,0.0,0.0
CVG,AUS,31,31.0,1.0
CVG,MSP,4,4.0,1.0
CVG,ORD,128,0.0,0.0
CVG,RDU,26,26.0,1.0
CYS,DEN,192,0.0,0.0
DAY,DEN,56,0.0,0.0
DAY,ORD,158,0.0,0.0
DCA,ORD,30,0.0,0.0
DDC,DEN,160,0.0,0.0
DEC,ORD,160,0.0,0.0
DEN,ABQ,210,0.0,0.0
DEN,ACV,94,0.0,0.0
DEN,AMA,182,0.0,0.0
DEN,ASE,780,0.0,0.0
DEN,ATW,110,0.0,0.0
DEN,ATY,30,0.0,0.0
DEN,AUS,66,62.0,0.9393939393939394
DEN,AVL,50,0.0,0.0
DEN,BFF,158,0.0,0.0
DEN,BFL,186,0.0,0.0
DEN,BHM,186,0.0,0.0
DEN,BIH,72,0.0,0.0
DEN,BIL,245,0.0,0.0
DEN,BIS,397,0.0,0.0
DEN,BOI,192,0.0,0.0
DEN,BTM,91,0.0,0.0
DEN,BZN,84,0.0,0.0
DEN,CID,26,0.0,0.0
DEN,COD,247,0.0,0.0
DEN,COS,810,0.0,0.0
DEN,COU,31,0.0,0.0
DEN,CPR,613,0.0,0.0
DEN,CYS,192,0.0,0.0
DEN,DAY,57,0.0,0.0
DEN,DDC,160,0.0,0.0
DEN,DFW,4,0.0,0.0
DEN,DIK,176,0.0,0.0
DEN,DRO,361,0.0,0.0
DEN,DSM,250,0.0,0.0
DEN,DVL,133,0.0,0.0
DEN,EAR,158,0.0,0.0
DEN,EGE,188,0.0,0.0
DEN,ELP,40,0.0,0.0
DEN,EUG,31,0.0,0.0
DEN,FAR,221,0.0,0.0
DEN,FAT,216,0.0,0.0
DEN,FCA,56,0.0,0.0
DEN,FMN,62,0.0,0.0
DEN,FSD,329,0.0,0.0
DEN,GCC,186,0.0,0.0
DEN,GEG,48,0.0,0.0
DEN,GJT,362,0.0,0.0
DEN,GSO,67,0.0,0.0
DEN,GSP,62,0.0,0.0
DEN,GTF,113,0.0,0.0
DEN,GUC,279,0.0,0.0
DEN,HDN,53,0.0,0.0
DEN,HLN,215,0.0,0.0
DEN,HOB,93,0.0,0.0
DEN,HSV,186,0.0,0.0
DEN,HYS,160,0.0,0.0
DEN,ICT,308,0.0,0.0
DEN,IDA,405,0.0,0.0
DEN,ILM,4,0.0,0.0
DEN,JAC,99,0.0,0.0
DEN,JLN,91,0.0,0.0
DEN,JMS,137,0.0,0.0
DEN,LAR,160,0.0,0.0
DEN,LAX,342,127.0,0.3713450292397661
DEN,LBB,181,0.0,0.0
DEN,LBF,159,0.0,0.0
DEN,LBL,160,0.0,0.0
DEN,LEX,93,0.0,0.0
DEN,LIT,273,0.0,0.0
DEN,LNK,402,0.0,0.0
DEN,LWS,31,0.0,0.0
DEN,MAF,289,0.0,0.0
DEN,MCI,66,0.0,0.0
DEN,MFR,56,0.0,0.0
DEN,MKE,92,0.0,0.0
DEN,MLI,93,0.0,0.0
DEN,MOT,283,0.0,0.0
DEN,MRY,186,0.0,0.0
DEN,MSN,26,0.0,0.0
DEN,MSO,116,0.0,0.0
DEN,MSP,19,0.0,0.0
DEN,MTJ,36,0.0,0.0
DEN,OKC,384,0.0,0.0
DEN,OMA,71,0.0,0.0
DEN,OTH,31,0.0,0.0
DEN,PDX,2,0.0,0.0
DEN,PIA,62,0.0,0.0
DEN,PIR,53,0.0,0.0
DEN,PRC,124,0.0,0.0
DEN,PSC,124,0.0,0.0
DEN,PSP,147,0.0,0.0
DEN,RAP,542,0.0,0.0
DEN,RDD,62,0.0,0.0
DEN,RIW,186,0.0,0.0
DEN,RKS,186,0.0,0.0
DEN,SAF,375,0.0,0.0
DEN,SAN,36,0.0,0.0
DEN,SAT,4,0.0,0.0
DEN,SAV,54,0.0,0.0
DEN,SBP,93,0.0,0.0
DEN,SEA,106,106.0,1.0
DEN,SGF,310,0.0,0.0
DEN,SGU,268,0.0,0.0
DEN,SHR,186,0.0,0.0
DEN,SHV,93,0.0,0.0
DEN,SLC,290,0.0,0.0
DEN,SLN,93,0.0,0.0
DEN,STL,31,0.0,0.0
DEN,SUN,186,0.0,0.0
DEN,SUX,119,0.0,0.0
DEN,TUL,304,0.0,0.0
DEN,TUS,168,0.0,0.0
DEN,TYS,148,0.0,0.0
DEN,WYS,36,0.0,0.0
DEN,XNA,187,0.0,0.0
DEN,XWA,362,0.0,0.0
DFW,ACT,186,0.0,0.0
DFW,AEX,158,0.0,0.0
DFW,AMA,14,0.0,0.0
DFW,ASE,441,0.0,0.0
DFW,AUS,98,0.0,0.0
DFW,BHM,5,0.0,0.0
DFW,BNA,40,0.0,0.0
DFW,BPT,134,0.0,0.0
DFW,BRO,101,0.0,0.0
DFW,BTR,78,0.0,0.0
DFW,CHA,30,0.0,0.0
DFW,CLL,85,0.0,0.0
DFW,COS,181,0.0,0.0
DFW,COU,58,0.0,0.0
DFW,CRP,14,0.0,0.0
DFW,DEN,5,0.0,0.0
DFW,DRO,289,0.0,0.0
DFW,FLG,100,0.0,0.0
DFW,FSD,9,0.0,0.0
DFW,GCK,62,0.0,0.0
DFW,GGG,62,0.0,0.0
DFW,GJT,92,0.0,0.0
DFW,GPT,8,0.0,0.0
DFW,GRI,186,0.0,0.0
DFW,GRK,125,0.0,0.0
DFW,GTR,62,0.0,0.0
DFW,GUC,54,0.0,0.0
DFW,HOU,110,0.0,0.0
DFW,HRL,13,0.0,0.0
DFW,IAH,14,0.0,0.0
DFW,ICT,73,0.0,0.0
DFW,IDA,124,0.0,0.0
DFW,JAN,59,0.0,0.0
DFW,LAW,93,0.0,0.0
DFW,LBB,152,0.0,0.0
DFW,LCH,185,0.0,0.0
DFW,LEX,27,0.0,0.0
DFW,LFT,82,0.0,0.0
DFW,LIT,39,0.0,0.0
DFW,LRD,57,0.0,0.0
DFW,MAF,138,0.0,0.0
DFW,MCI,7,0.0,0.0
DFW,MEM,15,0.0,0.0
DFW,MFE,11,0.0,0.0
DFW,MGM,48,0.0,0.0
DFW,MHK,93,0.0,0.0
DFW,MSP,1,0.0,0.0
DFW,OKC,30,0.0,0.0
DFW,OMA,2,0.0,0.0
DFW,PVU,248,0.0,0.0
DFW,ROW,236,0.0,0.0
DFW,SAF,402,0.0,0.0
DFW,SAT,81,0.0,0.0
DFW,SBN,243,0.0,0.0
DFW,SFO,4,0.0,0.0
DFW,SGU,155,0.0,0.0
DFW,SHV,271,0.0,0.0
DFW,SJT,278,0.0,0.0
DFW,SPS,112,0.0,0.0
DFW,STL,39,0.0,0.0
DFW,SWO,124,0.0,0.0
DFW,TLH,4,0.0,0.0
DFW,TUL,39,0.0,0.0
DFW,TXK,62,0.0,0.0
DFW,TYR,185,0.0,0.0
DFW,TYS,4,0.0,0.0
DFW,XNA,11,0.0,0.0
DFW,YUM,67,0.0,0.0
DHN,ATL,47,47.0,1.0
DIK,DEN,176,0.0,0.0
DLH,MSP,241,241.0,1.0
DLH,ORD,225,0.0,0.0
DRO,DEN,361,0.0,0.0
DRO,DFW,289,0.0,0.0
DRO,PHX,233,0.0,0.0
DSM,DEN,251,0.0,0.0
DSM,LAX,31,0.0,0.0
DSM,ORD,214,0.0,0.0
DSM,PHX,36,0.0,0.0
DTW,ALB,222,222.0,1.0
DTW,APN,159,159.0,1.0
DTW,ATW,249,249.0,1.0
DTW,AZO,245,245.0,1.0
DTW,BDL,1,1.0,1.0
DTW,BGM,58,58.0,1.0
DTW,BHM,97,97.0,1.0
DTW,BNA,3,3.0,1.0
DTW,BTV,121,121.0,1.0
DTW,BUF,43,43.0,1.0
DTW,CHS,133,133.0,1.0
DTW,CIU,92,92.0,1.0
DTW,CLE,228,228.0,1.0
DTW,CMH,89,89.0,1.0
DTW,ELM,202,202.0,1.0
DTW,ESC,93,93.0,1.0
DTW,FWA,144,144.0,1.0
DTW,GRB,151,151.0,1.0
DTW,GRR,241,241.0,1.0
DTW,GSO,95,95.0,1.0
DTW,GSP,82,82.0,1.0
DTW,HPN,91,91.0,1.0
DTW,HSV,28,28.0,1.0
DTW,IAD,248,248.0,1.0
DTW,IMT,93,93.0,1.0
DTW,IND,85,85.0,1.0
DTW,LAN,250,250.0,1.0
DTW,LEX,142,142.0,1.0
DTW,MBS,293,293.0,1.0
DTW,MCI,6,6.0,1.0
DTW,MDT,82,82.0,1.0
DTW,MDW,145,145.0,1.0
DTW,MEM,40,40.0,1.0
DTW,MKE,220,220.0,1.0
DTW,MQT,93,93.0,1.0
DTW,MSN,201,201.0,1.0
DTW,OMA,282,282.0,1.0
DTW,ORD,473,44.0,0.09302325581395349
DTW,ORF,57,57.0,1.0
DTW,PHL,22,22.0,1.0
DTW,PIT,175,175.0,1.0
DTW,PLN,169,169.0,1.0
DTW,PVD,137,137.0,1.0
DTW,PWM,41,41.0,1.0
DTW,RIC,150,150.0,1.0
DTW,ROC,114,114.0,1.0
DTW,SAV,33,33.0,1.0
DTW,SBN,151,151.0,1.0
DTW,SDF,132,132.0,1.0
DTW,STL,42,42.0,1.0
DTW,SYR,107,107.0,1.0
DTW,TVC,173,173.0,1.0
DVL,DEN,137,0.0,0.0
DVL,JMS,27,0.0,0.0
EAR,DEN,158,0.0,0.0
EAU,ORD,159,0.0,0.0
ECP,AUS,39,39.0,1.0
ECP,IAH,29,0.0,0.0
ECP,ORD,29,0.0,0.0
EGE,DEN,188,0.0,0.0
EGE,LAX,142,62.0,0.43661971830985913
EGE,MSP,9,9.0,1.0
EGE,PHX,67,0.0,0.0
EGE,SAN,29,0.0,0.0
EGE,SEA,26,0.0,0.0
EGE,SFO,62,0.0,0.0
EKO,SLC,128,128.0,1.0
ELM,DTW,202,202.0,1.0
ELP,DEN,41,0.0,0.0
ELP,IAH,16,0.0,0.0
ELP,LAX,184,0.0,0.0
ELP,ORD,35,0.0,0.0
ELP,PHX,214,0.0,0.0
ESC,DTW,93,93.0,1.0
ESC,MSP,68,68.0,1.0
EUG,BUR,6,0.0,0.0
EUG,DEN,31,0.0,0.0
EUG,LAX,91,0.0,0.0
EUG,PDX,78,0.0,0.0
EUG,SAN,57,0.0,0.0
EUG,SEA,346,259.0,0.7485549132947977
EUG,SFO,87,0.0,0.0
EUG,SLC,186,186.0,1.0
EVV,ATL,92,92.0,1.0
FAR,ATL,26,26.0,1.0
FAR,DEN,219,0.0,0.0
FAR,MSP,197,197.0,1.0
FAR,ORD,271,0.0,0.0
FAT,DEN,217,0.0,0.0
FAT,LAX,258,0.0,0.0
FAT,PDX,165,0.0,0.0
FAT,PHX,183,0.0,0.0
FAT,SAN,239,0.0,0.0
FAT,SEA,159,0.0,0.0
FAT,SFO,299,0.0,0.0
FAT,SLC,314,314.0,1.0
FAY,ATL,44,44.0,1.0
FCA,DEN,56,0.0,0.0
FCA,LAX,40,0.0,0.0
FCA,MSP,3,3.0,1.0
FCA,ORD,38,0.0,0.0
FCA,PDX,6,0.0,0.0
FCA,SAN,18,0.0,0.0
FCA,SEA,6,0.0,0.0
FCA,SFO,67,0.0,0.0
FCA,SLC,201,201.0,1.0
FLG,DFW,101,0.0,0.0
FLG,LAX,1,0.0,0.0
FLG,PHX,258,0.0,0.0
FMN,DEN,62,0.0,0.0
FNT,ORD,392,0.0,0.0
FOD,ORD,160,0.0,0.0
FSD,DEN,331,0.0,0.0
FSD,DFW,9,0.0,0.0
